accrual_id,accrual_date,accrual_period,vendor_name,bucket,amount,currency,reference_code,description
ACR-2026-00181,10/06/2026,2026-06,Costco,Damaged Goods,248.62,GBP,SAP-BKT-0182,Damaged Goods - internal accrual entry
ACR-2026-00043,13/06/2026,2026-06,Amazon,Promotional Accrual,1250.53,GBP,SAP-BKT-0044,Promotional Accrual - internal accrual entry
ACR-2026-00047,22/06/2026,2026-06,Walmart,Promotional Accrual,1220.84,GBP,SAP-BKT-0048,Promotional Accrual - internal accrual entry
ACR-2026-00051,24/06/2026,2026-06,Shopify Direct,Promotional Accrual,1160.99,GBP,SAP-BKT-0052,Promotional Accrual - internal accrual entry
ACR-2026-00135,03/06/2026,2026-06,Amazon,Price Dispute,226.73,GBP,SAP-BKT-0136,Price Dispute - internal accrual entry
ACR-2026-00017,09/06/2026,2026-06,Shopify Direct,Promotional Accrual,2685.46,GBP,SAP-BKT-0018,Promotional Accrual - internal accrual entry
ACR-2026-00015,14/06/2026,2026-06,Shopify Direct,Promotional Accrual,1095.19,GBP,SAP-BKT-0016,Promotional Accrual - internal accrual entry
ACR-2026-00151,14/06/2026,2026-06,Target,Price Dispute,142.16,GBP,SAP-BKT-0152,Price Dispute - internal accrual entry
ACR-2026-00087,22/06/2026,2026-06,Amazon,Shortage Claim,378.52,GBP,SAP-BKT-0088,Shortage Claim - internal accrual entry
ACR-2026-00193,06/06/2026,2026-06,Shopify Direct,Damaged Goods,63.72,GBP,SAP-BKT-0194,Damaged Goods - internal accrual entry
ACR-2026-00273,28/06/2026,2026-06,Walmart,Chargeback/Other,171.81,GBP,SAP-BKT-0274,Chargeback/Other - internal accrual entry
ACR-2026-00271,24/06/2026,2026-06,Shopify Direct,Chargeback/Other,164.14,GBP,SAP-BKT-0272,Chargeback/Other - internal accrual entry
ACR-2026-00071,24/06/2026,2026-06,Target,Shortage Claim,270.45,GBP,SAP-BKT-0072,Shortage Claim - internal accrual entry
ACR-2026-00097,30/06/2026,2026-06,Shopify Direct,Shortage Claim,98.31,GBP,SAP-BKT-0098,Shortage Claim - internal accrual entry
ACR-2026-00057,08/06/2026,2026-06,Amazon,Promotional Accrual,2718.87,GBP,SAP-BKT-0058,Promotional Accrual - internal accrual entry
ACR-2026-00065,29/06/2026,2026-06,Costco,Shortage Claim,389.24,GBP,SAP-BKT-0066,Shortage Claim - internal accrual entry
ACR-2026-00133,08/06/2026,2026-06,Shopify Direct,Price Dispute,192.71,GBP,SAP-BKT-0134,Price Dispute - internal accrual entry
ACR-2026-00019,25/06/2026,2026-06,Amazon,Promotional Accrual,2675.71,GBP,SAP-BKT-0020,Promotional Accrual - internal accrual entry
ACR-2026-00159,07/06/2026,2026-06,Walmart,Price Dispute,79.21,GBP,SAP-BKT-0160,Price Dispute - internal accrual entry
ACR-2026-00141,08/06/2026,2026-06,Shopify Direct,Price Dispute,104.37,GBP,SAP-BKT-0142,Price Dispute - internal accrual entry
ACR-2026-00293,25/06/2026,2026-06,Amazon,Chargeback/Other,284.36,GBP,SAP-BKT-0294,Chargeback/Other - internal accrual entry
ACR-2026-00169,27/06/2026,2026-06,Shopify Direct,Price Dispute,29.21,GBP,SAP-BKT-0170,Price Dispute - internal accrual entry
ACR-2026-00143,07/06/2026,2026-06,Costco,Price Dispute,178.68,GBP,SAP-BKT-0144,Price Dispute - internal accrual entry
ACR-2026-00011,17/06/2026,2026-06,Walmart,Promotional Accrual,2125.45,GBP,SAP-BKT-0012,Promotional Accrual - internal accrual entry
ACR-2026-00145,19/06/2026,2026-06,Shopify Direct,Price Dispute,159.71,GBP,SAP-BKT-0146,Price Dispute - internal accrual entry
ACR-2026-00103,18/06/2026,2026-06,Walmart,Shortage Claim,403.26,GBP,SAP-BKT-0104,Shortage Claim - internal accrual entry
ACR-2026-00093,01/06/2026,2026-06,Costco,Shortage Claim,403.37,GBP,SAP-BKT-0094,Shortage Claim - internal accrual entry
ACR-2026-00259,19/06/2026,2026-06,Target,Chargeback/Other,548.19,GBP,SAP-BKT-0260,Chargeback/Other - internal accrual entry
ACR-2026-00035,29/06/2026,2026-06,Shopify Direct,Promotional Accrual,2826.61,GBP,SAP-BKT-0036,Promotional Accrual - internal accrual entry
ACR-2026-00111,08/06/2026,2026-06,Target,Shortage Claim,80.85,GBP,SAP-BKT-0112,Shortage Claim - internal accrual entry
ACR-2026-00027,20/06/2026,2026-06,Target,Promotional Accrual,1214.21,GBP,SAP-BKT-0028,Promotional Accrual - internal accrual entry
ACR-2026-00003,08/06/2026,2026-06,Walmart,Promotional Accrual,876.75,GBP,SAP-BKT-0004,Promotional Accrual - internal accrual entry
ACR-2026-00137,08/06/2026,2026-06,Amazon,Price Dispute,44.21,GBP,SAP-BKT-0138,Price Dispute - internal accrual entry
ACR-2026-00167,04/06/2026,2026-06,Shopify Direct,Price Dispute,39.42,GBP,SAP-BKT-0168,Price Dispute - internal accrual entry
ACR-2026-00121,28/06/2026,2026-06,Shopify Direct,Price Dispute,197.88,GBP,SAP-BKT-0122,Price Dispute - internal accrual entry
ACR-2026-00291,13/06/2026,2026-06,Walmart,Chargeback/Other,331.77,GBP,SAP-BKT-0292,Chargeback/Other - internal accrual entry
ACR-2026-00191,19/06/2026,2026-06,Amazon,Damaged Goods,275.78,GBP,SAP-BKT-0192,Damaged Goods - internal accrual entry
ACR-2026-00269,29/06/2026,2026-06,Shopify Direct,Chargeback/Other,859.1,GBP,SAP-BKT-0270,Chargeback/Other - internal accrual entry
ACR-2026-00171,30/06/2026,2026-06,Amazon,Price Dispute,239.77,GBP,SAP-BKT-0172,Price Dispute - internal accrual entry
ACR-2026-00235,29/06/2026,2026-06,Amazon,Damaged Goods,89.05,GBP,SAP-BKT-0236,Damaged Goods - internal accrual entry
ACR-2026-00091,10/06/2026,2026-06,Amazon,Shortage Claim,216.52,GBP,SAP-BKT-0092,Shortage Claim - internal accrual entry
ACR-2026-00149,04/06/2026,2026-06,Amazon,Price Dispute,212.81,GBP,SAP-BKT-0150,Price Dispute - internal accrual entry
ACR-2026-00255,29/06/2026,2026-06,Amazon,Chargeback/Other,681.83,GBP,SAP-BKT-0256,Chargeback/Other - internal accrual entry
ACR-2026-00251,24/06/2026,2026-06,Walmart,Chargeback/Other,441.37,GBP,SAP-BKT-0252,Chargeback/Other - internal accrual entry
ACR-2026-00117,25/06/2026,2026-06,Shopify Direct,Shortage Claim,105.27,GBP,SAP-BKT-0118,Shortage Claim - internal accrual entry
ACR-2026-00129,04/06/2026,2026-06,Costco,Price Dispute,95.65,GBP,SAP-BKT-0130,Price Dispute - internal accrual entry
ACR-2026-00101,07/06/2026,2026-06,Shopify Direct,Shortage Claim,115.02,GBP,SAP-BKT-0102,Shortage Claim - internal accrual entry
ACR-2026-00023,25/06/2026,2026-06,Walmart,Promotional Accrual,1408.81,GBP,SAP-BKT-0024,Promotional Accrual - internal accrual entry
ACR-2026-00005,22/06/2026,2026-06,Amazon,Promotional Accrual,2499.8,GBP,SAP-BKT-0006,Promotional Accrual - internal accrual entry
ACR-2026-00261,05/06/2026,2026-06,Costco,Chargeback/Other,55.36,GBP,SAP-BKT-0262,Chargeback/Other - internal accrual entry
ACR-2026-00079,26/06/2026,2026-06,Walmart,Shortage Claim,304.97,GBP,SAP-BKT-0080,Shortage Claim - internal accrual entry
ACR-2026-00201,08/06/2026,2026-06,Shopify Direct,Damaged Goods,327.35,GBP,SAP-BKT-0202,Damaged Goods - internal accrual entry
ACR-2026-00249,21/06/2026,2026-06,Walmart,Chargeback/Other,960.51,GBP,SAP-BKT-0250,Chargeback/Other - internal accrual entry
ACR-2026-00131,11/06/2026,2026-06,Amazon,Price Dispute,30.99,GBP,SAP-BKT-0132,Price Dispute - internal accrual entry
ACR-2026-00127,15/06/2026,2026-06,Target,Price Dispute,281.39,GBP,SAP-BKT-0128,Price Dispute - internal accrual entry
ACR-2026-00219,17/06/2026,2026-06,Walmart,Damaged Goods,168.93,GBP,SAP-BKT-0220,Damaged Goods - internal accrual entry
ACR-2026-00195,03/06/2026,2026-06,Shopify Direct,Damaged Goods,464.93,GBP,SAP-BKT-0196,Damaged Goods - internal accrual entry
ACR-2026-00049,20/06/2026,2026-06,Amazon,Promotional Accrual,2214.44,GBP,SAP-BKT-0050,Promotional Accrual - internal accrual entry
ACR-2026-00253,18/06/2026,2026-06,Costco,Chargeback/Other,24.33,GBP,SAP-BKT-0254,Chargeback/Other - internal accrual entry
ACR-2026-00185,07/06/2026,2026-06,Walmart,Damaged Goods,184.84,GBP,SAP-BKT-0186,Damaged Goods - internal accrual entry
ACR-2026-00147,26/06/2026,2026-06,Costco,Price Dispute,141.01,GBP,SAP-BKT-0148,Price Dispute - internal accrual entry
ACR-2026-00083,15/06/2026,2026-06,Shopify Direct,Shortage Claim,250.48,GBP,SAP-BKT-0084,Shortage Claim - internal accrual entry
ACR-2026-00209,08/06/2026,2026-06,Target,Damaged Goods,169.14,GBP,SAP-BKT-0210,Damaged Goods - internal accrual entry
ACR-2026-00041,03/06/2026,2026-06,Target,Promotional Accrual,2809.36,GBP,SAP-BKT-0042,Promotional Accrual - internal accrual entry
ACR-2026-00229,01/06/2026,2026-06,Shopify Direct,Damaged Goods,372.27,GBP,SAP-BKT-0230,Damaged Goods - internal accrual entry
ACR-2026-00241,22/06/2026,2026-06,Walmart,Chargeback/Other,627.04,GBP,SAP-BKT-0242,Chargeback/Other - internal accrual entry
ACR-2026-00107,16/06/2026,2026-06,Target,Shortage Claim,67.01,GBP,SAP-BKT-0108,Shortage Claim - internal accrual entry
ACR-2026-00157,26/06/2026,2026-06,Target,Price Dispute,270.58,GBP,SAP-BKT-0158,Price Dispute - internal accrual entry
ACR-2026-00221,29/06/2026,2026-06,Target,Damaged Goods,69.74,GBP,SAP-BKT-0222,Damaged Goods - internal accrual entry
ACR-2026-00099,27/06/2026,2026-06,Target,Shortage Claim,290.02,GBP,SAP-BKT-0100,Shortage Claim - internal accrual entry
ACR-2026-00075,17/06/2026,2026-06,Walmart,Shortage Claim,237.67,GBP,SAP-BKT-0076,Shortage Claim - internal accrual entry
ACR-2026-00013,07/06/2026,2026-06,Shopify Direct,Promotional Accrual,2433.25,GBP,SAP-BKT-0014,Promotional Accrual - internal accrual entry
ACR-2026-00025,13/06/2026,2026-06,Amazon,Promotional Accrual,761.13,GBP,SAP-BKT-0026,Promotional Accrual - internal accrual entry
ACR-2026-00287,12/06/2026,2026-06,Costco,Chargeback/Other,309.51,GBP,SAP-BKT-0288,Chargeback/Other - internal accrual entry
ACR-2026-00063,07/06/2026,2026-06,Target,Shortage Claim,295.96,GBP,SAP-BKT-0064,Shortage Claim - internal accrual entry
ACR-2026-00115,27/06/2026,2026-06,Costco,Shortage Claim,84.92,GBP,SAP-BKT-0116,Shortage Claim - internal accrual entry
ACR-2026-00069,24/06/2026,2026-06,Walmart,Shortage Claim,262.09,GBP,SAP-BKT-0070,Shortage Claim - internal accrual entry
ACR-2026-00285,08/06/2026,2026-06,Costco,Chargeback/Other,207.59,GBP,SAP-BKT-0286,Chargeback/Other - internal accrual entry
ACR-2026-00119,18/06/2026,2026-06,Costco,Shortage Claim,119.45,GBP,SAP-BKT-0120,Shortage Claim - internal accrual entry
ACR-2026-00061,30/06/2026,2026-06,Walmart,Shortage Claim,399.45,GBP,SAP-BKT-0062,Shortage Claim - internal accrual entry
ACR-2026-00283,13/06/2026,2026-06,Amazon,Chargeback/Other,856.64,GBP,SAP-BKT-0284,Chargeback/Other - internal accrual entry
ACR-2026-00055,08/06/2026,2026-06,Shopify Direct,Promotional Accrual,2348.46,GBP,SAP-BKT-0056,Promotional Accrual - internal accrual entry
ACR-2026-00189,24/06/2026,2026-06,Amazon,Damaged Goods,193.37,GBP,SAP-BKT-0190,Damaged Goods - internal accrual entry
ACR-2026-00067,05/06/2026,2026-06,Costco,Shortage Claim,155.36,GBP,SAP-BKT-0068,Shortage Claim - internal accrual entry
ACR-2026-00205,19/06/2026,2026-06,Shopify Direct,Damaged Goods,299.01,GBP,SAP-BKT-0206,Damaged Goods - internal accrual entry
ACR-2026-00177,06/06/2026,2026-06,Amazon,Price Dispute,133.01,GBP,SAP-BKT-0178,Price Dispute - internal accrual entry
ACR-2026-00163,15/06/2026,2026-06,Target,Price Dispute,96.19,GBP,SAP-BKT-0164,Price Dispute - internal accrual entry
ACR-2026-00161,05/06/2026,2026-06,Costco,Price Dispute,145.24,GBP,SAP-BKT-0162,Price Dispute - internal accrual entry
ACR-2026-00073,13/06/2026,2026-06,Shopify Direct,Shortage Claim,190.32,GBP,SAP-BKT-0074,Shortage Claim - internal accrual entry
ACR-2026-00175,07/06/2026,2026-06,Costco,Price Dispute,271.43,GBP,SAP-BKT-0176,Price Dispute - internal accrual entry
ACR-2026-00105,30/06/2026,2026-06,Shopify Direct,Shortage Claim,60.21,GBP,SAP-BKT-0106,Shortage Claim - internal accrual entry
ACR-2026-00237,05/06/2026,2026-06,Shopify Direct,Damaged Goods,172.54,GBP,SAP-BKT-0238,Damaged Goods - internal accrual entry
ACR-2026-00297,11/06/2026,2026-06,Shopify Direct,Chargeback/Other,921.36,GBP,SAP-BKT-0298,Chargeback/Other - internal accrual entry
ACR-2026-00213,11/06/2026,2026-06,Costco,Damaged Goods,504.15,GBP,SAP-BKT-0214,Damaged Goods - internal accrual entry
ACR-2026-00225,27/06/2026,2026-06,Costco,Damaged Goods,309.33,GBP,SAP-BKT-0226,Damaged Goods - internal accrual entry
ACR-2026-00081,03/06/2026,2026-06,Shopify Direct,Shortage Claim,198.52,GBP,SAP-BKT-0082,Shortage Claim - internal accrual entry
ACR-2026-00031,30/06/2026,2026-06,Amazon,Promotional Accrual,1522.04,GBP,SAP-BKT-0032,Promotional Accrual - internal accrual entry
ACR-2026-00037,07/06/2026,2026-06,Shopify Direct,Promotional Accrual,2402.34,GBP,SAP-BKT-0038,Promotional Accrual - internal accrual entry
ACR-2026-00233,29/06/2026,2026-06,Amazon,Damaged Goods,102.82,GBP,SAP-BKT-0234,Damaged Goods - internal accrual entry
ACR-2026-00153,22/06/2026,2026-06,Amazon,Price Dispute,211.23,GBP,SAP-BKT-0154,Price Dispute - internal accrual entry
ACR-2026-00207,07/06/2026,2026-06,Target,Damaged Goods,373.21,GBP,SAP-BKT-0208,Damaged Goods - internal accrual entry
ACR-2026-00125,23/06/2026,2026-06,Walmart,Price Dispute,113.84,GBP,SAP-BKT-0126,Price Dispute - internal accrual entry
ACR-2026-00247,02/06/2026,2026-06,Target,Chargeback/Other,18.42,GBP,SAP-BKT-0248,Chargeback/Other - internal accrual entry
ACR-2026-00155,02/06/2026,2026-06,Amazon,Price Dispute,139.75,GBP,SAP-BKT-0156,Price Dispute - internal accrual entry
