deduction_id,transaction_date,vendor_name,amount,currency,reference_code,description,manual_bucket,manual_flag
DED-2026-00587,12/06/2026,Costco Marketplace,-309.52,GBP,REF-588,Miscellaneous deduction - see note,,
DED-2026-00769,10/06/2026,Unknown Remitter,-102.63,GBP,SETTLEMENT-770,Miscellaneous deduction - refer to portal,,
DED-2026-00645,23/06/2026,Walmart Marketplace LLC,-343.05,GBP,QTY-SHORT-646,Aggregated shortage adjustment - multiple SKUs,,
DED-2026-00583,13/06/2026,AMZN Mktp UK,-856.64,GBP,REF-584,Adjustment applied at settlement,,
DED-2026-00539,07/06/2026,SHOPIFY INC,-397.38,GBP,ADJ-540,Account adjustment - refer to statement,,
DED-2026-00785,08/06/2026,3rd Party Payment Processor,-196.22,GBP,SETTLEMENT-786,General ledger adjustment,,
DED-2026-00619,01/07/2026,Amazon Services Europe,-2001.51,GBP,TRADE-PROMO-620,Aggregated promo rebate - multiple campaigns,,
DED-2026-00589,08/06/2026,WALMART.COM,-37.84,GBP,SETTLEMENT-590,Reimbursement adjustment - see portal,,
DED-2026-00659,20/06/2026,DEDUCTION PROCESSOR LTD,-177.07,GBP,QTY-SHORT-660,Inventory receipt shortfall claim,,
DED-2026-00797,12/06/2026,3rd Party Payment Processor,-55.68,GBP,ADJ-798,Balance adjustment - no further detail,,
DED-2026-00411,08/06/2026,Target Plus Marketplace,-80.86,GBP,DED-412,Miscellaneous deduction - see note,,
DED-2026-00751,25/06/2026,3rd Party Payment Processor,-72.42,GBP,DED-752,Account adjustment - see remittance advice,,
DED-2026-00495,02/06/2026,Shopify Direct Sales,-464.94,GBP,REF-496,Adjustment applied at settlement,,
DED-2026-00675,20/06/2026,3P-SELLER-PAYOUTS,-300.99,GBP,PRICE-ADJ-676,Retroactive price adjustment - multiple POs,,
DED-2026-00581,08/06/2026,Walmart Marketplace LLC,-168.64,GBP,REF-582,Miscellaneous deduction - see note,,
DED-2026-00399,27/06/2026,Target Plus Marketplace,-290.02,GBP,ADJ-400,Account adjustment - refer to statement,,
DED-2026-00407,16/06/2026,Target Corporation,-67.01,GBP,NOTE-408,Account adjustment - refer to statement,,
DED-2026-00445,18/06/2026,SHOPIFY INC,-159.72,GBP,NOTE-446,Adjustment applied at settlement,,
DED-2026-00577,23/06/2026,Walmart Marketplace LLC,-907.13,GBP,SETTLEMENT-578,Adjustment applied at settlement,,
DED-2026-00551,25/06/2026,Walmart Marketplace LLC,-441.38,GBP,SETTLEMENT-552,Miscellaneous deduction - see note,,
DED-2026-00387,22/06/2026,Amazon EU Sarl - UK Branch,-378.52,GBP,ADJ-388,Account adjustment - refer to statement,,
DED-2026-00567,23/06/2026,Walmart Inc,-114.2,GBP,ADJ-568,Miscellaneous deduction - see note,,
DED-2026-00511,21/06/2026,Walmart Inc,-360.99,GBP,REF-512,Account adjustment - refer to statement,,
DED-2026-00309,02/06/2026,AMAZON.COM LLC,-752.97,GBP,REF-310,Miscellaneous deduction - see note,,
DED-2026-00383,15/06/2026,SHOPIFY INC,-250.48,GBP,REF-384,Account adjustment - refer to statement,,
DED-2026-00509,09/06/2026,TARGET.COM,-169.15,GBP,SETTLEMENT-510,Adjustment applied at settlement,,
DED-2026-00449,03/06/2026,AMAZON.COM LLC,-212.81,GBP,REF-450,Reimbursement adjustment - see portal,,
DED-2026-00613,26/06/2026,DEDUCTION PROCESSOR LTD,-3111.63,GBP,MKTG-REBATE-614,Aggregated promo rebate - multiple campaigns,,
DED-2026-00695,07/06/2026,DEDUCTION PROCESSOR LTD,-244.16,GBP,DMG-CLAIM-696,Inbound damage adjustment,,
DED-2026-00405,29/06/2026,Shopify Payments,-60.2,GBP,REF-406,Adjustment applied at settlement,,
DED-2026-00561,05/06/2026,Costco Marketplace,-55.35,GBP,SETTLEMENT-562,Reimbursement adjustment - see portal,,
DED-2026-00423,30/06/2026,WALMART.COM,-178.7,GBP,DED-424,Account adjustment - refer to statement,,
DED-2026-00401,08/06/2026,SHOPIFY INC,-115.03,GBP,DED-402,Reimbursement adjustment - see portal,,
DED-2026-00593,25/06/2026,Amazon EU SARL,-284.36,GBP,SETTLEMENT-594,Account adjustment - refer to statement,,
DED-2026-00501,07/06/2026,SHOPIFY INC,-327.35,GBP,NOTE-502,Miscellaneous deduction - see note,,
DED-2026-00515,02/06/2026,AMZN Mktp UK,-266.42,GBP,SETTLEMENT-516,Reimbursement adjustment - see portal,,
DED-2026-00787,03/06/2026,Payments Clearing House,-103.37,GBP,NOTE-788,Account adjustment - see remittance advice,,
DED-2026-00761,10/06/2026,3rd Party Payment Processor,-62.84,GBP,REF-762,General ledger adjustment,,
DED-2026-00419,18/06/2026,COSTCO.COM,-119.45,GBP,NOTE-420,Adjustment applied at settlement,,
DED-2026-00795,02/06/2026,Unknown Remitter,-38.87,GBP,REF-796,Account adjustment - see remittance advice,,
DED-2026-00739,17/06/2026,Amazon EU SARL,-856.63,GBP,MISC-ADJ-740,Aggregated chargeback - see case file,,
DED-2026-00553,19/06/2026,COSTCO.COM,-24.33,GBP,ADJ-554,Deduction per remittance advice,,
DED-2026-00601,22/06/2026,PARTNER-99231-REMIT,-2446.51,GBP,TRADE-PROMO-602,Aggregated promo rebate - multiple campaigns,,
DED-2026-00307,02/06/2026,Shopify Payments,-2094.33,GBP,SETTLEMENT-308,Reimbursement adjustment - see portal,,
DED-2026-00569,28/06/2026,SHOPIFY INC,-859.1,GBP,DED-570,Account adjustment - refer to statement,,
DED-2026-00557,17/06/2026,WALMART.COM,-49.76,GBP,ADJ-558,Deduction per remittance advice,,
DED-2026-00647,29/06/2026,AMZN Mktp UK,-132.44,GBP,MISSING-UNITS-648,Aggregated shortage adjustment - multiple SKUs,,
DED-2026-00533,29/06/2026,AMAZON.COM LLC,-102.83,GBP,SETTLEMENT-534,Adjustment applied at settlement,,
DED-2026-00597,12/06/2026,SHOPIFY INC,-921.37,GBP,DED-598,Adjustment applied at settlement,,
DED-2026-00357,08/06/2026,Amazon EU SARL,-2718.86,GBP,DED-358,Deduction per remittance advice,,
DED-2026-00431,12/06/2026,AMZN Mktp UK,-31,GBP,SETTLEMENT-432,Reimbursement adjustment - see portal,,
DED-2026-00791,01/06/2026,Payments Clearing House,-323.53,GBP,DED-792,Account adjustment - see remittance advice,,
DED-2026-00745,23/06/2026,MKTPL-SETTLEMENT-EU,-139.44,GBP,MISC-ADJ-746,Other adjustment - multiple references,,
DED-2026-00463,14/06/2026,TARGET.COM,-96.18,GBP,ADJ-464,Deduction per remittance advice,,
DED-2026-00649,25/06/2026,3P-SELLER-PAYOUTS,-231.45,GBP,MISSING-UNITS-650,Units short on receipt - claim filed,,
DED-2026-00575,30/06/2026,Walmart Marketplace LLC,-412.87,GBP,DED-576,Deduction per remittance advice,,
DED-2026-00585,07/06/2026,COSTCO.COM,-207.59,GBP,REF-586,Adjustment applied at settlement,,
DED-2026-00671,18/06/2026,MKTPL-SETTLEMENT-EU,-256.35,GBP,PPD-672,Price protection dispute adjustment,,
DED-2026-00377,29/06/2026,AMZN Mktp UK,-99.47,GBP,NOTE-378,Adjustment applied at settlement,,
DED-2026-00375,18/06/2026,WALMART.COM,-237.67,GBP,DED-376,Adjustment applied at settlement,,
DED-2026-00727,20/06/2026,Amazon EU Sarl - UK Branch,-284.37,GBP,OTHER-DEDUCT-728,Other adjustment - multiple references,,
DED-2026-00637,01/06/2026,MKTPL-SETTLEMENT-EU,-274.97,GBP,QTY-SHORT-638,Aggregated shortage adjustment - multiple SKUs,,
DED-2026-00595,12/06/2026,Shopify Direct Sales,-670.72,GBP,ADJ-596,Adjustment applied at settlement,,
DED-2026-00549,21/06/2026,WALMART.COM,-960.51,GBP,ADJ-550,Account adjustment - refer to statement,,
DED-2026-00389,24/06/2026,Target Plus Marketplace,-290.75,GBP,ADJ-390,Reimbursement adjustment - see portal,,
DED-2026-00471,01/07/2026,Amazon EU SARL,-239.76,GBP,NOTE-472,Reimbursement adjustment - see portal,,
DED-2026-00621,15/06/2026,3P-SELLER-PAYOUTS,-2215.59,GBP,TRADE-PROMO-622,Trade promotion funding adjustment,,
DED-2026-00475,06/06/2026,Costco Marketplace,-271.43,GBP,ADJ-476,Deduction per remittance advice,,
DED-2026-00629,21/06/2026,MKTPL-SETTLEMENT-EU,-2890.62,GBP,MKTG-REBATE-630,Marketing rebate accrual drawdown,,
DED-2026-00773,30/06/2026,Payments Clearing House,-99.15,GBP,NOTE-774,Balance adjustment - no further detail,,
DED-2026-00413,02/06/2026,Shopify Direct Sales,-90.83,GBP,REF-414,Adjustment applied at settlement,,
DED-2026-00737,12/06/2026,3P-SELLER-PAYOUTS,-168.19,GBP,MISC-ADJ-738,Miscellaneous marketplace deduction,,
DED-2026-00345,07/06/2026,Target Plus Marketplace,-1499.48,GBP,NOTE-346,Account adjustment - refer to statement,,
DED-2026-00547,02/06/2026,Target Plus Marketplace,-18.42,GBP,DED-548,Adjustment applied at settlement,,
DED-2026-00747,03/06/2026,Walmart Marketplace LLC,-168.64,GBP,OTHER-DEDUCT-748,Miscellaneous marketplace deduction,,
DED-2026-00799,05/06/2026,Unknown Remitter,-98.52,GBP,DED-800,General ledger adjustment,,
DED-2026-00607,08/06/2026,SHOPIFY INC,-3356.17,GBP,TRADE-PROMO-608,Marketing rebate accrual drawdown,,
DED-2026-00331,01/07/2026,AMAZON.COM LLC,-1522.04,GBP,DED-332,Deduction per remittance advice,,
DED-2026-00351,24/06/2026,Shopify Direct Sales,-1160.99,GBP,REF-352,Adjustment applied at settlement,,
DED-2026-00425,23/06/2026,WALMART.COM,-113.84,GBP,NOTE-426,Account adjustment - refer to statement,,
DED-2026-00781,15/06/2026,Marketplace Services Ltd,-320.05,GBP,ADJ-782,Balance adjustment - no further detail,,
DED-2026-00477,05/06/2026,AMZN Mktp UK,-133.02,GBP,NOTE-478,Miscellaneous deduction - see note,,
DED-2026-00617,13/06/2026,3P-SELLER-PAYOUTS,-1207.84,GBP,PROMO-618,Marketing rebate accrual drawdown,,
DED-2026-00663,14/06/2026,EXTERNAL SETTLEMENT CO,-271.67,GBP,PRC-DISP-664,Cost price discrepancy claim,,
DED-2026-00355,09/06/2026,Shopify Payments,-2348.46,GBP,REF-356,Account adjustment - refer to statement,,
DED-2026-00415,28/06/2026,COSTCO.COM,-84.93,GBP,SETTLEMENT-416,Adjustment applied at settlement,,
DED-2026-00643,03/07/2026,Costco Wholesale Corp,-84.92,GBP,SHORT-644,Units short on receipt - claim filed,,
DED-2026-00367,05/06/2026,Costco Wholesale Corp,-155.37,GBP,REF-368,Account adjustment - refer to statement,,
DED-2026-00559,19/06/2026,Target Corporation,-548.19,GBP,SETTLEMENT-560,Account adjustment - refer to statement,,
DED-2026-00435,03/06/2026,Amazon Services Europe,-226.72,GBP,SETTLEMENT-436,Adjustment applied at settlement,,
DED-2026-00361,29/06/2026,WALMART.COM,-399.46,GBP,REF-362,Adjustment applied at settlement,,
DED-2026-00499,14/06/2026,Walmart Marketplace LLC,-95.54,GBP,REF-500,Adjustment applied at settlement,,
DED-2026-00701,12/06/2026,Shopify Direct Sales,-327.35,GBP,DAMAGED-RMA-702,Warehouse damage claim - multiple units,,
DED-2026-00707,14/06/2026,SHOPIFY INC,-72.01,GBP,DMG-CLAIM-708,Inbound damage adjustment,,
DED-2026-00313,08/06/2026,Shopify Direct Sales,-2433.25,GBP,REF-314,Miscellaneous deduction - see note,,
DED-2026-00359,12/06/2026,Target Plus Marketplace,-1222.91,GBP,DED-360,Deduction per remittance advice,,
DED-2026-00427,16/06/2026,Target Plus Marketplace,-281.39,GBP,DED-428,Reimbursement adjustment - see portal,,
DED-2026-00443,06/06/2026,Costco Marketplace,-178.67,GBP,DED-444,Deduction per remittance advice,,
DED-2026-00763,15/06/2026,Payments Clearing House,-57.82,GBP,NOTE-764,General ledger adjustment,,
DED-2026-00757,24/06/2026,Unknown Remitter,-70.94,GBP,DED-758,General ledger adjustment,,
DED-2026-00603,26/06/2026,EXTERNAL SETTLEMENT CO,-606.44,GBP,PROMO-604,Marketing rebate accrual drawdown,,
DED-2026-00571,23/06/2026,SHOPIFY INC,-164.14,GBP,ADJ-572,Account adjustment - refer to statement,,
DED-2026-00371,23/06/2026,Target Corporation,-270.46,GBP,REF-372,Miscellaneous deduction - see note,,
DED-2026-00743,24/06/2026,WALMART.COM,-1540.46,GBP,OTHER-DEDUCT-744,Other adjustment - multiple references,,
DED-2026-00651,26/06/2026,Target Corporation,-465.87,GBP,MISSING-UNITS-652,Units short on receipt - claim filed,,
DED-2026-00491,19/06/2026,AMZN Mktp UK,-275.78,GBP,REF-492,Adjustment applied at settlement,,
DED-2026-00735,23/06/2026,EXTERNAL SETTLEMENT CO,-52.77,GBP,MISC-ADJ-736,Other adjustment - multiple references,,
DED-2026-00531,11/06/2026,Shopify Direct Sales,-505.54,GBP,REF-532,Miscellaneous deduction - see note,,
DED-2026-00379,27/06/2026,Walmart Inc,-304.97,GBP,SETTLEMENT-380,Deduction per remittance advice,,
DED-2026-00641,03/06/2026,Shopify Payments,-165.49,GBP,MISSING-UNITS-642,Aggregated shortage adjustment - multiple SKUs,,
DED-2026-00591,12/06/2026,Walmart Marketplace LLC,-331.78,GBP,REF-592,Adjustment applied at settlement,,
DED-2026-00711,06/06/2026,TARGET.COM,-674.28,GBP,WHSE-DMG-712,Inbound damage adjustment,,
DED-2026-00485,06/06/2026,Walmart Inc,-184.83,GBP,DED-486,Account adjustment - refer to statement,,
DED-2026-00625,13/06/2026,SHOPIFY INC,-2006.78,GBP,MKTG-REBATE-626,Trade promotion funding adjustment,,
DED-2026-00421,29/06/2026,SHOPIFY INC,-197.89,GBP,ADJ-422,Miscellaneous deduction - see note,,
DED-2026-00335,28/06/2026,SHOPIFY INC,-2826.62,GBP,NOTE-336,Deduction per remittance advice,,
DED-2026-00365,29/06/2026,Costco Marketplace,-389.23,GBP,ADJ-366,Adjustment applied at settlement,,
DED-2026-00317,08/06/2026,SHOPIFY INC,-2685.46,GBP,SETTLEMENT-318,Deduction per remittance advice,,
DED-2026-00713,10/06/2026,3P-SELLER-PAYOUTS,-234.86,GBP,DMG-CLAIM-714,Inbound damage adjustment,,
DED-2026-00611,23/06/2026,AMAZON.COM LLC,-3268.11,GBP,TRADE-PROMO-612,Marketing rebate accrual drawdown,,
DED-2026-00373,13/06/2026,SHOPIFY INC,-190.32,GBP,REF-374,Miscellaneous deduction - see note,,
DED-2026-00315,14/06/2026,Shopify Direct Sales,-1095.2,GBP,REF-316,Adjustment applied at settlement,,
DED-2026-00381,03/06/2026,Shopify Payments,-198.52,GBP,REF-382,Miscellaneous deduction - see note,,
DED-2026-00759,20/06/2026,Payments Clearing House,-202.52,GBP,DED-760,Miscellaneous deduction - refer to portal,,
DED-2026-00487,18/06/2026,Amazon EU SARL,-406.55,GBP,DED-488,Account adjustment - refer to statement,,
DED-2026-00507,07/06/2026,Target Corporation,-373.21,GBP,REF-508,Miscellaneous deduction - see note,,
DED-2026-00731,06/06/2026,Costco Wholesale Corp,-92.06,GBP,CHB-732,Miscellaneous marketplace deduction,,
DED-2026-00339,21/06/2026,Amazon EU SARL,-1115.33,GBP,SETTLEMENT-340,Deduction per remittance advice,,
DED-2026-00329,25/06/2026,Amazon Services Europe,-1740.44,GBP,ADJ-330,Deduction per remittance advice,,
DED-2026-00627,18/06/2026,EXTERNAL SETTLEMENT CO,-2380.51,GBP,TRADE-PROMO-628,Marketing rebate accrual drawdown,,
DED-2026-00441,07/06/2026,Shopify Direct Sales,-104.37,GBP,DED-442,Account adjustment - refer to statement,,
DED-2026-00719,20/06/2026,Amazon EU SARL,-458.19,GBP,DMG-CLAIM-720,Damaged inventory write-down claim,,
DED-2026-00615,20/05/2026,AMZN Mktp UK,-2502.2,GBP,MKTG-REBATE-616,Marketing rebate accrual drawdown,,
DED-2026-00481,11/06/2026,Costco Wholesale Corp,-248.63,GBP,DED-482,Account adjustment - refer to statement,,
DED-2026-00765,06/06/2026,3rd Party Payment Processor,-57,GBP,REF-766,Account adjustment - see remittance advice,,
DED-2026-00661,26/06/2026,MKTPL-SETTLEMENT-EU,-147.61,GBP,PPD-662,Price protection dispute adjustment,,
DED-2026-00479,09/06/2026,Costco Wholesale Corp,-289.06,GBP,REF-480,Account adjustment - refer to statement,,
DED-2026-00527,21/06/2026,Target Corporation,-531.86,GBP,DED-528,Reimbursement adjustment - see portal,,
DED-2026-00653,01/06/2026,MKTPL-SETTLEMENT-EU,-224.9,GBP,QTY-SHORT-654,Inventory receipt shortfall claim,,
DED-2026-00385,28/06/2026,SHOPIFY INC,-399.28,GBP,REF-386,Reimbursement adjustment - see portal,,
DED-2026-00519,18/06/2026,Walmart Inc,-168.94,GBP,DED-520,Account adjustment - refer to statement,,
DED-2026-00683,06/07/2026,SHOPIFY INC,-197.88,GBP,PRICE-ADJ-684,Retroactive price adjustment - multiple POs,,
DED-2026-00529,01/06/2026,Shopify Direct Sales,-372.27,GBP,DED-530,Miscellaneous deduction - see note,,
DED-2026-00457,26/06/2026,TARGET.COM,-270.59,GBP,DED-458,Reimbursement adjustment - see portal,,
DED-2026-00677,22/06/2026,EXTERNAL SETTLEMENT CO,-85.63,GBP,PRC-DISP-678,Retroactive price adjustment - multiple POs,,
DED-2026-00639,07/06/2026,Target Plus Marketplace,-132.49,GBP,SHORT-640,Units short on receipt - claim filed,,
DED-2026-00467,05/06/2026,Shopify Direct Sales,-39.42,GBP,SETTLEMENT-468,Miscellaneous deduction - see note,,
DED-2026-00687,03/06/2026,DEDUCTION PROCESSOR LTD,-301.97,GBP,PRC-DISP-688,Cost price discrepancy claim,,
DED-2026-00353,13/06/2026,COSTCO.COM,-1228.86,GBP,SETTLEMENT-354,Reimbursement adjustment - see portal,,
DED-2026-00465,14/06/2026,AMZN Mktp UK,-255.28,GBP,NOTE-466,Adjustment applied at settlement,,
DED-2026-00777,11/06/2026,Unknown Remitter,-103.39,GBP,DED-778,Miscellaneous deduction - refer to portal,,
DED-2026-00767,21/06/2026,Marketplace Services Ltd,-79.24,GBP,NOTE-768,Account adjustment - see remittance advice,,
DED-2026-00793,17/06/2026,Marketplace Services Ltd,-195.68,GBP,SETTLEMENT-794,General ledger adjustment,,
DED-2026-00609,21/06/2026,COSTCO.COM,-1228.86,GBP,TRADE-PROMO-610,Trade promotion funding adjustment,,
DED-2026-00521,30/06/2026,TARGET.COM,-69.74,GBP,SETTLEMENT-522,Miscellaneous deduction - see note,,
DED-2026-00341,02/06/2026,TARGET.COM,-2809.35,GBP,ADJ-342,Adjustment applied at settlement,,
DED-2026-00517,03/06/2026,SHOPIFY INC,-71.99,GBP,NOTE-518,Miscellaneous deduction - see note,,
DED-2026-00673,14/06/2026,3P-SELLER-PAYOUTS,-215.95,GBP,PPD-674,Cost price discrepancy claim,,
DED-2026-00343,12/06/2026,AMZN Mktp UK,-1250.53,GBP,DED-344,Miscellaneous deduction - see note,,
DED-2026-00437,09/06/2026,AMZN Mktp UK,-44.21,GBP,NOTE-438,Account adjustment - refer to statement,,
DED-2026-00565,30/06/2026,Amazon EU Sarl - UK Branch,-360.29,GBP,ADJ-566,Deduction per remittance advice,,
DED-2026-00721,10/07/2026,Shopify Direct Sales,-859.09,GBP,MISC-ADJ-722,Aggregated chargeback - see case file,,
DED-2026-00771,27/06/2026,3rd Party Payment Processor,-71.42,GBP,SETTLEMENT-772,Balance adjustment - no further detail,,
DED-2026-00655,29/06/2026,Walmart Inc,-403.26,GBP,SHORT-656,Inventory receipt shortfall claim,,
DED-2026-00555,30/06/2026,Amazon Services Europe,-681.82,GBP,ADJ-556,Miscellaneous deduction - see note,,
DED-2026-00395,16/06/2026,Target Plus Marketplace,-334.32,GBP,REF-396,Account adjustment - refer to statement,,
DED-2026-00473,05/06/2026,WALMART.COM,-140.83,GBP,ADJ-474,Deduction per remittance advice,,
DED-2026-00497,20/06/2026,Amazon EU SARL,-69.32,GBP,DED-498,Adjustment applied at settlement,,
DED-2026-00525,28/06/2026,COSTCO.COM,-309.33,GBP,NOTE-526,Reimbursement adjustment - see portal,,
DED-2026-00681,26/05/2026,Costco Marketplace,-271.42,GBP,PPD-682,Price protection dispute adjustment,,
DED-2026-00505,18/06/2026,SHOPIFY INC,-299.02,GBP,SETTLEMENT-506,Account adjustment - refer to statement,,
DED-2026-00523,11/06/2026,Walmart Marketplace LLC,-178.92,GBP,NOTE-524,Deduction per remittance advice,,
DED-2026-00489,25/06/2026,Amazon Services Europe,-193.36,GBP,SETTLEMENT-490,Reimbursement adjustment - see portal,,
DED-2026-00709,09/06/2026,SHOPIFY INC,-459.31,GBP,WHSE-DMG-710,Inbound damage adjustment,,
DED-2026-00363,07/06/2026,Target Corporation,-295.97,GBP,DED-364,Miscellaneous deduction - see note,,
DED-2026-00439,28/06/2026,Amazon Services Europe,-119.18,GBP,REF-440,Account adjustment - refer to statement,,
DED-2026-00469,27/06/2026,Shopify Direct Sales,-29.21,GBP,SETTLEMENT-470,Account adjustment - refer to statement,,
DED-2026-00635,05/06/2026,Costco Wholesale Corp,-290.43,GBP,MISSING-UNITS-636,Aggregated shortage adjustment - multiple SKUs,,
DED-2026-00325,13/06/2026,AMAZON.COM LLC,-761.14,GBP,NOTE-326,Miscellaneous deduction - see note,,
DED-2026-00699,10/06/2026,PARTNER-99231-REMIT,-38.88,GBP,DMG-CLAIM-700,Inbound damage adjustment,,
DED-2026-00483,23/06/2026,Shopify Direct Sales,-397.79,GBP,DED-484,Miscellaneous deduction - see note,,
DED-2026-00447,27/06/2026,Costco Wholesale Corp,-141.01,GBP,DED-448,Account adjustment - refer to statement,,
DED-2026-00397,29/06/2026,Shopify Direct Sales,-98.3,GBP,ADJ-398,Deduction per remittance advice,,
DED-2026-00631,19/06/2026,AMZN Mktp UK,-99.47,GBP,QTY-SHORT-632,Aggregated shortage adjustment - multiple SKUs,,
DED-2026-00685,08/06/2026,COSTCO.COM,-376.19,GBP,PRC-DISP-686,Retroactive price adjustment - multiple POs,,
DED-2026-00779,02/06/2026,Payments Clearing House,-204.17,GBP,DED-780,General ledger adjustment,,
DED-2026-00429,03/06/2026,COSTCO.COM,-95.66,GBP,NOTE-430,Deduction per remittance advice,,
DED-2026-00543,16/06/2026,Target Plus Marketplace,-486.44,GBP,SETTLEMENT-544,Account adjustment - refer to statement,,
DED-2026-00579,27/06/2026,COSTCO.COM,-661.46,GBP,NOTE-580,Deduction per remittance advice,,
DED-2026-00717,14/06/2026,Amazon EU SARL,-76.39,GBP,DMG-CLAIM-718,Inbound damage adjustment,,
DED-2026-00503,20/06/2026,Amazon EU Sarl - UK Branch,-76.4,GBP,SETTLEMENT-504,Miscellaneous deduction - see note,,
DED-2026-00563,29/06/2026,TARGET.COM,-915.42,GBP,REF-564,Miscellaneous deduction - see note,,
DED-2026-00459,07/06/2026,Walmart Inc,-79.22,GBP,ADJ-460,Miscellaneous deduction - see note,,
